# Old comments in file ./exp/dpm_alphaBar/dpm_alphaBar_2-015-time_quadratic.txt
# order     : 2
# steps     : 15
# skip_type : time_quadratic
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99831408    8
# 0.99106145   24
# 0.97020745   49
# 0.92504120   83
# 0.84484202  124
# 0.72390133  174
# 0.56756419  232
# 0.39544648  299
# 0.23678841  374
# 0.11733688  457
# 0.04613604  549
# 0.01374105  649
# 0.00294653  757
# 0.00043045  874
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 11898236869720319207
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:7088.870153 = 7088.852304 + 0.017849
# loss_var     : 8054.213574 => 7088.852304
# model.learning_portion: 0.01
# model.out_channels    : 15
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.996636:  13: 0.996636; 0.003364* 785.991993= 2.643920;  2.643920/0.996636=  2.652844
0.982187:  37: 0.985502; 0.0     *   0.0     = 0.0     ;  0.0     /0.982187=  0.0     
0.965830:  53: 0.983346; 0.016322* 463.453892= 7.564425;  7.564425/0.965830=  7.832048
0.926367:  82: 0.959141; 0.0     *   0.0     = 0.0     ;  0.0     /0.926367=  0.0     
0.855240: 119: 0.923219; 0.042653* 271.296334=11.571592; 11.571592/0.855240= 13.530225
0.741313: 167: 0.866789; 0.0     *   0.0     = 0.0     ;  0.0     /0.741313=  0.0     
0.588604: 225: 0.794002; 0.106121* 147.489602=15.651739; 15.651739/0.588604= 26.591300
0.415977: 290: 0.706718; 0.0     *   0.0     = 0.0     ;  0.0     /0.415977=  0.0     
0.253235: 365: 0.608771; 0.196646*  76.892025=15.120536; 15.120536/0.253235= 59.709561
0.128016: 448: 0.505523; 0.0     *   0.0     = 0.0     ;  0.0     /0.128016=  0.0     
0.051614: 539: 0.403185; 0.340724*  32.261370=10.992236; 10.992236/0.051614=212.969281
0.015889: 638: 0.307833; 0.0     *   0.0     = 0.0     ;  0.0     /0.015889=  0.0     
0.003566: 744: 0.224432; 0.550926*   7.380474= 4.066093;  4.066093/0.003566=1140.274055
0.000557: 859: 0.156085; 0.0     *   0.0     = 0.0     ;  0.0     /0.000557=  0.0     
0.000058: 981: 0.103762; 0.762017*   0.426332= 0.324872;  0.324872/0.000058=5625.292990
